thickness,k,n_trees,min_node_size,max_depth,beta,fold,auc,auc_avg,auc_std
50,5,200,0.5%,2,0.1,0,0.951514482498169,0.9500318765640259,0.0018022507429122925
50,5,200,0.5%,2,0.1,1,0.9481560587882996,0.9500318765640259,0.0018022507429122925
50,5,200,0.5%,2,0.1,2,0.9496470093727112,0.9500318765640259,0.0018022507429122925
50,5,200,0.5%,2,0.1,3,0.9522681832313538,0.9500318765640259,0.0018022507429122925
50,5,200,0.5%,2,0.1,4,0.948573648929596,0.9500318765640259,0.0018022507429122925
50,5,200,0.5%,2,0.2,0,0.9511234164237976,0.9513208270072937,0.0018273148452863097
50,5,200,0.5%,2,0.2,1,0.9496679902076721,0.9513208270072937,0.0018273148452863097
50,5,200,0.5%,2,0.2,2,0.951662540435791,0.9513208270072937,0.0018273148452863097
50,5,200,0.5%,2,0.2,3,0.9542350172996521,0.9513208270072937,0.0018273148452863097
50,5,200,0.5%,2,0.2,4,0.9499150514602661,0.9513208270072937,0.0018273148452863097
50,5,200,0.5%,2,0.3,0,0.9509861469268799,0.9514896273612976,0.0022595960181206465
50,5,200,0.5%,2,0.3,1,0.9496474862098694,0.9514896273612976,0.0022595960181206465
50,5,200,0.5%,2,0.3,2,0.9501795768737793,0.9514896273612976,0.0022595960181206465
50,5,200,0.5%,2,0.3,3,0.9553641676902771,0.9514896273612976,0.0022595960181206465
50,5,200,0.5%,2,0.3,4,0.9512709379196167,0.9514896273612976,0.0022595960181206465
50,5,200,0.5%,2,0.4,0,0.9513869881629944,0.951011061668396,0.0027409715112298727
50,5,200,0.5%,2,0.4,1,0.947476863861084,0.951011061668396,0.0027409715112298727
50,5,200,0.5%,2,0.4,2,0.9500961303710938,0.951011061668396,0.0027409715112298727
50,5,200,0.5%,2,0.4,3,0.9550832509994507,0.951011061668396,0.0027409715112298727
50,5,200,0.5%,2,0.4,4,0.9510121941566467,0.951011061668396,0.0027409715112298727
50,5,200,0.5%,2,0.5,0,0.955081582069397,0.9509896039962769,0.003412102349102497
50,5,200,0.5%,2,0.5,1,0.946368396282196,0.9509896039962769,0.003412102349102497
50,5,200,0.5%,2,0.5,2,0.9518784880638123,0.9509896039962769,0.003412102349102497
50,5,200,0.5%,2,0.5,3,0.952761173248291,0.9509896039962769,0.003412102349102497
